RowNumber,LeadId,Surname,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active,Converted_y_N
2084,15779738,Buccho,3,Networks,Male,24,Hyderabad,None,1,1,1,0
2085,15668669,Benson,2,Networks,Female,36,Chennai,None,1,0,1,1
2086,15687477,Thompson,3,Direct,Male,28,Chennai,Platinum,1,0,1,0
2087,15578908,Todd,5,Organic,Female,32,Kolkata,None,2,1,1,0
2088,15687658,Burgin,5,Networks,Female,52,Surat,None,2,0,1,1
2089,15615020,Nnaife,3,Direct,Female,41,Ahmedabad,Gold,2,1,0,0
2090,15608886,Okwudiliolisa,4,Networks,Female,33,Hyderabad,None,2,0,0,0
2091,15602551,Johnson,4,Organic,Male,39,Ahmedabad,None,2,0,1,0
2092,15672945,Parkes,4,Networks,Female,37,Chennai,Silver,1,0,1,0
2093,15757408,Lo,4,Organic,Male,38,Chandigarh,Platinum,3,1,0,1
2094,15806132,Martin,3,Networks,Male,55,Delhi,Gold,1,1,1,0
2095,15813022,Kapustina,3,Organic,Male,70,Hyderabad,None,2,0,0,0
2096,15673578,Page,4,Direct,Female,40,Surat,Silver,2,0,1,0
2097,15757916,Amaechi,3,Networks,Female,38,Ahmedabad,None,2,1,1,0
2098,15689168,Munro,3,Organic,Male,37,Hyderabad,Silver,2,1,0,0
2099,15769216,Panicucci,4,Networks,Female,43,Bangalore,None,1,0,1,1
2100,15593295,Greathouse,3,Networks,Male,57,New Delhi,None,1,1,1,0
2101,15804814,Ts'ui,5,Networks,Male,40,Delhi,None,2,0,1,0
2102,15778934,Napolitani,4,Organic,Female,49,Mumbai,None,2,1,0,0
2103,15802351,Beers,5,Direct,Female,33,New Delhi,None,2,1,1,0
2104,15630241,Tretyakova,3,Networks,Male,61,Chandigarh,None,1,1,1,0
2105,15719561,Lin,5,Networks,Male,42,Chennai,None,3,0,0,0
2106,15615096,Costa,2,Networks,Female,31,Surat,None,2,1,1,0
2107,15659931,Ibezimako,4,Direct,Female,55,Hyderabad,Base,1,0,1,1
2108,15714586,Marcelo,4,Organic,Female,42,Chandigarh,None,1,1,0,0
2109,15634949,Hay,3,Direct,Male,74,Chennai,Platinum,2,1,1,0
2110,15589224,Moore,3,Organic,Male,41,Chennai,None,2,1,0,0
2111,15795990,Lumholtz,5,Direct,Female,48,Cochin,Silver,1,1,1,1
2112,15603216,Simpson,4,Networks,Male,25,Surat,None,2,0,1,0
2113,15631201,Hill,2,Organic,Female,28,Delhi,None,2,0,1,0
2114,15686255,Mouzon,5,Direct,Male,35,New Delhi,None,1,0,0,0
2115,15746594,Wu,5,Organic,Male,33,Mumbai,None,1,0,1,0
2116,15718893,Pirozzi,2,Direct,Female,54,Delhi,Base,1,0,1,1
2117,15671609,Ibeabuchi,5,Networks,Male,44,Surat,None,2,0,1,0
2118,15652540,Garnsey,4,Networks,Male,31,Bangalore,None,2,1,0,0
2119,15774857,Synnot,2,Networks,Female,27,Surat,None,2,0,1,1
2120,15791836,Wildman,4,Networks,Male,29,Chennai,None,2,0,1,0
2121,15651554,Anenechukwu,4,Direct,Female,54,Delhi,Base,1,1,1,1
2122,15583576,Tai,4,Networks,Male,30,Bangalore,None,1,1,0,0
2123,15732740,Plant,5,Organic,Female,32,Ahmedabad,Platinum,1,0,0,0
2124,15723320,Azubuike,4,Direct,Female,25,Bangalore,Base,2,0,1,0
2125,15603851,Galkin,5,Networks,Male,32,Surat,Silver,4,0,0,1
2126,15777923,Johnston,3,Networks,Female,45,New Delhi,None,2,1,0,0
2127,15735719,Babbage,5,Networks,Female,40,Ahmedabad,None,2,1,1,0
2128,15703482,Walker,5,Direct,Male,34,Ahmedabad,Silver,2,0,1,0
2129,15605835,Rice,5,Networks,Male,37,Mumbai,None,2,1,0,0
2130,15664881,Norton,5,Networks,Male,34,Delhi,None,1,0,1,0
2131,15757568,Bogolyubov,5,Networks,Female,45,New Delhi,None,1,1,1,0
2132,15792660,Gibbons,4,Networks,Male,38,Bangalore,Base,1,0,1,0
2133,15599722,Chia,4,Organic,Female,43,New Delhi,None,2,1,1,1
2134,15726354,Smith,4,Networks,Female,32,New Delhi,Base,1,0,1,0
2135,15610355,Hunter,5,Networks,Male,44,Hyderabad,None,1,0,1,0
2136,15704284,Ekechukwu,5,Direct,Male,57,Ahmedabad,None,1,0,1,1
2137,15621893,Bellucci,5,Networks,Male,18,Delhi,Silver,1,1,1,0
2138,15588219,Ford,6,Networks,Female,38,Hyderabad,Base,2,0,1,0
2139,15688619,Scott,5,Organic,Male,45,Chandigarh,None,2,1,1,0
2140,15765518,Gregson,4,Networks,Female,51,Bangalore,None,1,0,1,1
2141,15616931,Moore,4,Networks,Male,41,Mumbai,None,1,0,1,0
2142,15758372,Wallace,4,Networks,Male,18,Surat,None,2,1,1,1
2143,15782591,Cook,4,Networks,Male,35,New Delhi,Base,1,0,1,0
2144,15612109,Speth,6,Networks,Male,38,Ahmedabad,Base,2,1,1,0
2145,15613712,Boag,4,Organic,Male,34,Hyderabad,None,2,0,1,0
2146,15639322,Grave,4,Organic,Male,33,Delhi,Silver,2,0,1,0
2147,15594349,Streeten,6,Networks,Male,49,Chennai,Base,1,1,0,0
2148,15574167,Fox,4,Networks,Male,33,Bangalore,None,1,1,1,0
2149,15811842,Artemyeva,4,Organic,Male,26,Surat,None,2,1,1,0
2150,15648794,Giordano,6,Organic,Male,57,Delhi,None,1,0,1,1
2151,15771211,Perkins,4,Networks,Male,38,Cochin,None,1,1,0,0
2152,15588614,Walton,5,Networks,Male,57,Surat,None,1,0,1,1
2153,15630698,Hay,5,Networks,Female,55,Ahmedabad,Base,1,1,0,1
2154,15694200,Gardner,4,Networks,Male,36,Mumbai,Platinum,1,0,0,1
2155,15721426,Milne,4,Direct,Male,65,Cochin,Silver,3,0,0,1
2156,15725997,She,4,Networks,Female,35,New Delhi,None,1,0,1,0
2157,15762138,Hu,4,Networks,Male,42,Chennai,None,2,0,1,0
2158,15750649,Uwakwe,5,Networks,Female,44,Chandigarh,None,2,1,1,0
2159,15685706,Bird,5,Networks,Female,40,Surat,Base,1,1,1,0
2160,15641835,Anderson,4,Networks,Male,72,Chandigarh,Silver,1,1,0,0
2161,15586821,Bellew,5,Networks,Male,28,Chennai,None,2,1,0,0
2162,15569678,Cocci,3,Direct,Male,32,New Delhi,Platinum,1,0,1,0
2163,15793842,Krichauff,4,Networks,Female,34,Bangalore,None,1,0,1,0
2164,15667554,Cameron,4,Networks,Male,35,New Delhi,None,2,1,1,0
2165,15794479,Becker,5,Organic,Male,77,Mumbai,Gold,1,1,1,0
2166,15585041,Ainsworth,3,Networks,Male,33,Surat,None,2,1,0,0
2167,15780650,Biryukov,4,Networks,Male,40,Ahmedabad,None,1,1,1,0
2168,15780846,Redding,5,Networks,Male,33,Hyderabad,Silver,2,1,0,0
2169,15805260,Wood,5,Direct,Female,56,Bangalore,Silver,1,0,1,1
2170,15621629,Scott,5,Direct,Male,43,Mumbai,None,2,1,1,0
2171,15662151,Gould,3,Networks,Male,40,Delhi,None,1,1,0,0
2172,15747174,Hao,3,Direct,Male,58,Ahmedabad,Platinum,2,1,1,0
2173,15651585,Power,4,Direct,Male,35,Bangalore,Base,1,1,1,0
2174,15649738,White,4,Networks,Female,46,Kolkata,None,2,1,1,0
2175,15633108,Thorpe,4,Networks,Male,26,Delhi,Silver,1,0,1,0
2176,15769254,Tuan,5,Direct,Female,34,Ahmedabad,None,2,0,0,0
2177,15704746,Inman,4,Organic,Male,35,Bangalore,Platinum,2,1,1,0
2178,15637644,Hanson,4,Networks,Female,24,Delhi,None,2,1,0,0
2179,15609562,MacDonald,5,Organic,Female,43,Hyderabad,Base,1,0,1,0
2180,15787459,Parkes,5,Organic,Male,40,Chandigarh,None,1,0,0,0
2181,15762902,Stanley,4,Networks,Female,42,Surat,None,2,1,0,0
2182,15738605,Fischer,4,Direct,Female,46,Chennai,Base,1,1,1,1
2183,15724889,Chinweuba,4,Organic,Male,38,Ahmedabad,None,1,1,0,0
2184,15730735,Henning,5,Networks,Male,38,Ahmedabad,None,2,1,1,0
2185,15689147,Ogochukwu,4,Networks,Female,40,Hyderabad,None,2,0,1,0
2186,15730397,Narelle,5,Organic,Male,40,Hyderabad,Base,1,1,1,0
2187,15762169,Bergman,3,Direct,Male,37,Ahmedabad,Silver,2,0,1,1
2188,15589320,Sagese,4,Organic,Male,34,Mumbai,None,1,1,1,0
2189,15799211,Anenechi,5,Organic,Female,32,Mumbai,Platinum,1,1,1,0
2190,15798310,Palerma,2,Networks,Male,35,Bangalore,Platinum,1,1,1,0
2191,15609998,Okwudilichukwu,4,Direct,Female,59,Chennai,Silver,1,0,1,1
2192,15583548,Harrison,3,Organic,Female,47,New Delhi,Base,1,0,1,1
2193,15761763,Jamieson,6,Networks,Male,33,Mumbai,Platinum,1,0,1,0
2194,15764409,Goodman,4,Networks,Male,37,Ahmedabad,Base,1,1,1,0
2195,15710161,Ko,6,Networks,Female,34,Bangalore,None,2,1,1,0
2196,15735246,Norman,5,Organic,Female,58,Ahmedabad,None,2,0,0,1
2197,15791700,Ugochukwutubelum,5,Direct,Male,47,Bangalore,Base,4,1,1,1
2198,15670753,Uvarova,4,Organic,Male,35,Bangalore,Silver,1,1,1,0
2199,15573876,Chia,2,Organic,Male,48,Mumbai,None,2,0,1,0
2200,15770174,Piazza,5,Networks,Male,29,New Delhi,Silver,1,0,1,0
2201,15641114,Power,5,Networks,Male,37,Mumbai,Silver,1,1,1,0
2202,15682435,P'eng,3,Networks,Male,35,Delhi,Silver,2,0,1,0
2203,15751788,Johnson,6,Organic,Male,28,Ahmedabad,None,1,1,1,0
2204,15672598,Walker,4,Organic,Male,30,Ahmedabad,Base,1,1,1,0
2205,15762803,Innes,3,Networks,Male,31,Chandigarh,None,2,0,1,0
2206,15812982,Francis,3,Organic,Male,38,Bangalore,None,1,0,0,0
2207,15597901,Chidozie,4,Networks,Male,34,Hyderabad,None,1,1,1,0
2208,15731507,Mackenzie,2,Networks,Female,33,Hyderabad,Platinum,1,0,0,0
2209,15809826,Craigie,5,Networks,Female,46,Bangalore,Base,1,0,1,1
2210,15764237,Manfrin,4,Organic,Male,33,Ahmedabad,None,2,0,0,0
2211,15769917,Onyekachi,4,Direct,Female,34,Hyderabad,Silver,3,1,0,0
2212,15641850,Pethard,5,Networks,Male,40,Kolkata,None,1,0,1,0
2213,15770974,Nwabugwu,5,Direct,Female,37,Mumbai,Platinum,2,0,0,0
2214,15803749,DeRose,2,Direct,Female,41,Delhi,None,2,1,1,1
2215,15684999,Ch'eng,6,Networks,Female,26,Delhi,None,2,1,0,0
2216,15770225,Padovesi,2,Networks,Male,36,Ahmedabad,None,2,1,1,0
2217,15627484,Obielumani,4,Networks,Female,47,Chennai,Base,1,0,1,0
2218,15610337,Stephens,4,Organic,Male,35,Bangalore,None,1,0,1,0
2219,15752488,Emery,5,Organic,Female,31,Ahmedabad,None,1,1,1,0
2220,15610056,Dufresne,4,Direct,Female,34,New Delhi,Base,2,1,0,0
2221,15806049,Lee,5,Direct,Female,49,Chennai,Silver,1,0,1,0
2222,15736069,Hsing,5,Direct,Female,35,New Delhi,Silver,1,0,1,1
2223,15763662,Longo,5,Direct,Male,43,Bangalore,None,2,1,1,0
2224,15615575,Vial,5,Networks,Male,34,Mumbai,None,2,1,1,0
2225,15691723,Chukwudi,4,Organic,Male,55,Ahmedabad,None,1,0,1,0
2226,15774098,Grant,5,Direct,Male,38,Chandigarh,Base,2,1,0,0
2227,15750808,Ma,5,Organic,Male,46,Bangalore,Silver,2,1,1,0
2228,15744368,Sun,4,Organic,Male,58,New Delhi,None,1,1,1,0
2229,15610594,Moss,4,Networks,Female,37,Mumbai,None,2,0,1,0
2230,15756125,Booth,5,Organic,Male,44,Chennai,Silver,2,0,1,0
2231,15623277,Ross,4,Networks,Female,30,Mumbai,None,2,1,1,0
2232,15795954,Ndukaku,5,Networks,Male,35,Bangalore,Platinum,1,0,1,0
2233,15671969,Pruneda,4,Organic,Male,36,Mumbai,None,2,0,1,0
2234,15791268,Neumann,3,Organic,Male,38,Kolkata,Base,1,0,0,0
2235,15713655,Calabrese,5,Networks,Female,38,Cochin,None,2,1,1,1
2236,15633930,Yobachukwu,4,Organic,Female,56,New Delhi,Gold,2,0,1,1
2237,15712849,Tung,4,Direct,Male,41,Chandigarh,Silver,1,0,0,1
2238,15639077,Marchesi,4,Networks,Female,30,Bangalore,Gold,3,0,1,1
2239,15808784,Hess,6,Networks,Male,28,Bangalore,Platinum,2,1,1,0
2240,15648577,Pickering,2,Networks,Female,31,Chandigarh,None,1,1,1,1
2241,15670345,Mazzi,5,Direct,Female,33,New Delhi,Silver,1,0,0,0
2242,15633112,Madukaego,4,Direct,Male,42,Chandigarh,Base,2,0,1,1
2243,15714397,Trentino,4,Direct,Female,30,Bangalore,None,2,1,1,0
2244,15780038,Paterson,5,Organic,Male,38,New Delhi,Base,1,0,1,1
2245,15756305,Marchesi,3,Networks,Female,66,New Delhi,None,2,1,1,0
2246,15578799,Anayolisa,4,Networks,Female,58,Cochin,None,1,1,1,1
2247,15800326,Poole,5,Organic,Female,39,New Delhi,None,2,0,1,0
2248,15785485,Zhou,3,Direct,Female,41,Bangalore,Silver,1,1,0,0
2249,15783958,Bates,3,Organic,Female,37,Hyderabad,Silver,2,0,0,0
2250,15727546,Olejuru,5,Networks,Male,35,Ahmedabad,None,2,1,1,0
2251,15739576,Bustard,5,Organic,Male,20,Mumbai,None,2,1,1,0
2252,15631333,Wade,4,Organic,Female,25,Mumbai,Silver,1,0,1,0
2253,15604782,Tan,5,Direct,Female,33,Surat,Platinum,1,1,0,0
2254,15589643,Ngozichukwuka,4,Organic,Female,41,Surat,None,1,1,1,0
2255,15585533,Calabrese,4,Networks,Male,36,New Delhi,Gold,1,1,0,0
2256,15681506,Lane,2,Organic,Male,43,Hyderabad,None,2,1,1,0
2257,15630551,Forbes,4,Networks,Male,33,Bangalore,Platinum,1,1,1,0
2258,15698349,Davy,4,Organic,Female,35,Delhi,None,2,1,1,0
2259,15776631,Ma,2,Networks,Female,36,Chennai,Base,1,1,0,0
2260,15762216,Barrera,4,Networks,Female,41,Delhi,Silver,2,0,1,0
2261,15623927,Alexander,3,Networks,Male,55,Ahmedabad,None,2,1,1,0
2262,15681402,Ngozichukwuka,5,Direct,Female,61,Hyderabad,None,1,1,1,0
2263,15586264,Murray,3,Networks,Male,43,Bangalore,Silver,1,0,1,1
2264,15594685,Hall,5,Networks,Female,49,Bangalore,None,2,0,0,0
2265,15812945,Padovesi,3,Networks,Female,29,Kolkata,None,1,1,1,0
2266,15734628,Lysaght,4,Networks,Female,35,Chennai,None,2,0,1,0
2267,15629323,Kelechi,4,Direct,Female,37,Delhi,Base,2,0,1,1
2268,15666823,Nebechi,2,Networks,Male,39,Delhi,None,2,0,1,0
2269,15777553,Hanson,4,Networks,Female,56,Ahmedabad,Base,1,0,1,1
2270,15613097,Kao,4,Networks,Female,33,Delhi,None,2,1,0,0
2271,15622217,Tu,3,Networks,Female,38,Mumbai,None,2,0,0,1
2272,15703588,Palerma,4,Direct,Male,25,Chennai,Gold,2,0,1,0
2273,15570835,Fallaci,2,Direct,Female,57,Delhi,Base,1,1,1,1
2274,15679299,Shen,5,Organic,Female,27,Surat,Base,1,1,0,0
2275,15808044,Ts'ui,3,Networks,Female,65,Ahmedabad,Base,3,0,1,1
2276,15579208,Chikezie,3,Networks,Female,48,New Delhi,None,2,1,1,0
2277,15684951,He,3,Networks,Female,59,Bangalore,None,2,0,1,1
2278,15667620,Dreyer,5,Networks,Female,43,New Delhi,None,2,0,1,0
2279,15582960,Short,2,Networks,Female,33,Chennai,Base,1,1,0,0
2280,15590730,Hunt,5,Organic,Male,34,Ahmedabad,None,2,0,1,0
2281,15763747,Ricci,5,Networks,Male,36,Surat,None,2,1,1,0
2282,15778320,Teng,6,Direct,Female,40,Chennai,Gold,1,0,0,0
2283,15642787,Ijendu,3,Networks,Male,37,Hyderabad,Silver,1,0,0,0
2284,15624633,Kibby,5,Networks,Male,45,Ahmedabad,None,1,1,1,0
2285,15766765,Obiuto,4,Direct,Male,39,Surat,None,1,0,1,0
2286,15783615,Ramos,4,Direct,Male,50,Chandigarh,Silver,4,1,1,1
2287,15640161,Calabrese,4,Direct,Male,44,Chennai,Gold,2,0,0,0
2288,15619889,Vasin,3,Networks,Male,26,Delhi,None,1,0,1,0
2289,15579166,Munro,4,Networks,Female,30,Surat,None,1,1,1,0
2290,15789097,Keeley,4,Networks,Male,48,Mumbai,None,2,1,0,1
2291,15674880,Archer,4,Organic,Male,50,Bangalore,None,2,0,1,0
2292,15778157,Murray,3,Organic,Male,27,Mumbai,None,2,0,1,0
2293,15779064,Chidiegwu,4,Networks,Male,27,Bangalore,None,2,1,1,0
2294,15801265,Tang,4,Organic,Female,45,Kolkata,None,1,0,1,1
2295,15589204,Farrar,3,Networks,Male,33,Ahmedabad,Silver,1,0,1,0
2296,15664543,Shaw,4,Networks,Male,40,Surat,None,1,1,0,1
2297,15582714,Napolitani,5,Direct,Male,47,Ahmedabad,Base,1,1,0,1
2298,15797595,Greenhalgh,5,Networks,Female,40,Ahmedabad,Silver,1,1,1,0
2299,15614034,Martin,4,Direct,Male,61,Bangalore,Platinum,2,1,1,0
2300,15763171,Hu,4,Direct,Female,25,Bangalore,Base,1,1,1,0
2301,15647266,Y?an,4,Organic,Female,45,Cochin,Silver,1,0,1,0
2302,15757577,Odili,4,Networks,Female,61,Mumbai,None,2,1,1,0
2303,15736656,H?,5,Networks,Female,49,Delhi,None,2,1,0,0
2304,15635078,Chiemela,5,Organic,Male,45,Kolkata,Base,1,1,0,0
2305,15680141,Yuan,5,Organic,Female,35,Surat,Gold,1,1,1,0
2306,15576945,Clements,3,Networks,Male,29,Kolkata,None,1,0,1,0
2307,15602034,Kolesnikov,4,Networks,Female,34,Bangalore,Silver,1,0,1,0
2308,15732020,Rutherford,4,Direct,Male,57,New Delhi,Base,2,1,0,0
2309,15611029,Hsiung,2,Direct,Female,33,Delhi,Silver,1,0,1,0
2310,15621210,Angelo,3,Direct,Male,46,Ahmedabad,Base,1,1,1,1
2311,15569222,Mendes,5,Networks,Male,32,New Delhi,Gold,1,1,1,0
2312,15664639,McGregor,4,Networks,Male,19,Ahmedabad,Silver,1,0,0,0
2313,15724223,Bronner,3,Networks,Female,55,Chennai,None,1,0,0,1
2314,15644621,Mironova,3,Direct,Female,40,Ahmedabad,Base,2,0,1,0
2315,15756056,Ku,3,Organic,Female,28,Chandigarh,None,2,0,1,0
2316,15700353,Evans,4,Networks,Female,37,New Delhi,None,2,0,1,0
2317,15624388,Henderson,4,Direct,Female,50,Chennai,Gold,1,1,1,1
2318,15627212,Smith,4,Networks,Female,36,Bangalore,Base,1,1,1,0
2319,15648005,Russell,4,Organic,Male,33,Bangalore,None,2,1,1,0
2320,15681446,Sun,4,Direct,Female,37,Ahmedabad,Gold,1,1,1,0
2321,15775888,McDonald,3,Direct,Female,38,Chennai,None,1,1,1,0
2322,15749019,Wong,3,Direct,Male,45,New Delhi,None,2,1,1,0
2323,15709928,Niu,3,Organic,Female,41,Hyderabad,None,2,0,1,0
2324,15784676,Fanucci,3,Networks,Male,51,New Delhi,Base,2,0,1,0
2325,15748116,Zetticci,4,Networks,Female,29,Bangalore,Gold,1,1,1,0
2326,15612193,Hsia,5,Organic,Male,29,Cochin,Base,2,0,1,0
2327,15762984,McIntosh,4,Organic,Male,35,Surat,None,2,0,0,0
2328,15613713,Kozlova,4,Networks,Male,30,Chennai,None,1,1,1,0
2329,15664204,Meany,5,Organic,Male,29,Bangalore,None,2,1,1,0
2330,15639415,Thompson,6,Networks,Male,35,Chandigarh,Platinum,1,0,1,0
2331,15806332,Le Gallienne,2,Organic,Female,39,Chennai,None,2,1,1,0
2332,15614929,Cheng,3,Direct,Male,28,Kolkata,None,2,0,1,0
2333,15695492,P'eng,2,Networks,Female,29,New Delhi,Gold,1,0,1,0
2334,15635972,Lloyd,2,Organic,Male,36,Mumbai,None,2,0,1,0
2335,15616380,Wheeler,6,Organic,Female,37,Hyderabad,None,2,0,0,0
2336,15581440,Christie,5,Direct,Female,48,New Delhi,Base,2,1,1,1
2337,15654390,He,4,Networks,Male,33,Surat,Gold,1,0,1,1
2338,15660688,King,5,Organic,Female,35,Ahmedabad,None,2,0,0,0
2339,15806307,Favors,3,Networks,Male,37,Chandigarh,None,2,1,1,0
2340,15647975,Vida,4,Direct,Male,26,Chennai,Gold,1,0,0,0
2341,15595728,Thomas,3,Direct,Male,41,Kolkata,Base,1,0,0,1
2342,15735388,Wayn,5,Networks,Female,25,Surat,Base,2,0,1,0
2343,15788535,Tan,3,Organic,Male,44,Chennai,None,1,0,1,0
2344,15765902,Gibson,5,Direct,Male,38,Chennai,Platinum,2,1,1,0
2345,15642345,Y?,5,Direct,Female,49,Delhi,None,1,0,1,1
2346,15641250,Calabresi,5,Organic,Male,38,Ahmedabad,Platinum,1,0,1,0
2347,15706163,Enyinnaya,3,Direct,Male,46,Delhi,Base,1,0,0,1
2348,15746708,Ritchie,3,Direct,Male,55,Surat,Base,1,0,1,1
2349,15775203,Chia,6,Networks,Male,45,Chandigarh,Silver,1,0,0,0
2350,15787907,Wang,5,Direct,Female,42,Chennai,Silver,3,0,1,1
2351,15646764,Lorenzo,4,Direct,Female,58,Chandigarh,Base,2,0,1,1
2352,15678284,Pai,4,Networks,Male,35,Surat,None,3,0,1,1
2353,15726791,Nuttall,4,Organic,Female,45,Bangalore,Gold,1,1,1,1
2354,15813144,Osborne,3,Networks,Female,26,Surat,None,2,0,1,0
2355,15669342,Ferri,5,Direct,Male,35,Bangalore,Silver,2,0,1,0
2356,15710366,Hamilton,3,Organic,Female,42,Hyderabad,None,1,1,1,1
2357,15614934,McEwan,4,Direct,Female,37,Delhi,Silver,1,0,1,0
2358,15588701,Lai,3,Networks,Female,38,Delhi,None,2,0,1,0
2359,15665438,Hs?,4,Networks,Male,43,Hyderabad,Platinum,1,1,0,0
2360,15644896,Thompson,4,Direct,Male,32,Chandigarh,Base,1,1,1,0
2361,15670205,Boyd,3,Direct,Female,41,Chennai,Base,1,0,1,0
2362,15635776,Trevisani,4,Direct,Female,43,Chennai,Gold,2,1,1,0
2363,15791053,Lucciano,5,Direct,Male,45,Delhi,Base,1,1,1,1
2364,15644005,Holman,3,Networks,Female,33,Ahmedabad,None,2,1,0,0
2365,15796343,Bazhenov,5,Networks,Female,31,Bangalore,None,2,0,0,0
2366,15751057,Douglas,5,Direct,Male,32,Chennai,None,1,0,0,0
2367,15623430,Hill,4,Networks,Male,34,Ahmedabad,None,2,0,1,0
2368,15682600,Lo,4,Direct,Male,39,Ahmedabad,Platinum,1,0,1,1
2369,15769312,Forbes,3,Organic,Male,48,Cochin,None,2,1,1,0
2370,15708212,Lin,4,Organic,Female,54,Surat,Base,1,0,1,1
2371,15650258,Sinclair,2,Networks,Female,35,Bangalore,Base,1,0,1,0
2372,15604345,Kemp,5,Networks,Female,22,Ahmedabad,None,1,1,1,0
2373,15578297,Ebelegbulam,5,Direct,Female,43,Hyderabad,Base,1,0,1,1
2374,15671789,Woods,4,Networks,Male,31,Chandigarh,None,2,0,1,0
2375,15726186,Genovese,4,Organic,Male,29,Delhi,Silver,2,0,1,0
2376,15764618,Tseng,6,Organic,Female,39,New Delhi,None,1,1,1,0
2377,15730738,Chiang,5,Organic,Male,31,Ahmedabad,None,2,1,1,0
2378,15637650,Williams,3,Networks,Male,50,Ahmedabad,None,2,1,0,0
2379,15606267,Wilson,4,Networks,Female,38,Delhi,None,1,1,1,0
2380,15625904,Wang,4,Networks,Male,26,Ahmedabad,None,2,0,0,0
2381,15654463,Moore,6,Networks,Male,34,Delhi,None,2,0,1,0
2382,15774151,Iadanza,4,Organic,Female,41,Surat,Platinum,1,0,0,1
2383,15693259,Wallace,4,Networks,Male,30,Hyderabad,Silver,1,1,1,0
2384,15642468,Clark,4,Networks,Male,42,Ahmedabad,Silver,2,0,0,0
2385,15758531,Y?,5,Networks,Female,40,Cochin,None,2,0,1,0
2386,15728352,Yermakov,4,Networks,Male,27,Delhi,Base,1,0,0,0
2387,15637240,Wei,3,Networks,Male,46,Delhi,Base,2,0,1,0
2388,15595588,Chukwunonso,5,Organic,Female,39,Delhi,None,2,1,0,0
2389,15778395,McIntyre,5,Direct,Male,34,Delhi,None,2,0,1,1
2390,15711825,Ts'ai,4,Organic,Female,35,Hyderabad,None,2,0,1,0
2391,15599251,Chung,4,Direct,Male,32,Surat,Platinum,2,0,1,0
2392,15570004,Tsou,6,Networks,Male,31,Chandigarh,None,2,0,1,0
2393,15656912,Aitken,4,Organic,Male,51,Delhi,None,1,1,1,0
2394,15657342,Dawson,6,Direct,Male,28,Delhi,Gold,1,0,1,1
2395,15716284,Ward,3,Networks,Male,43,Ahmedabad,None,2,1,1,0
2396,15672374,Pai,4,Networks,Male,52,Mumbai,Platinum,1,0,0,1
2397,15732476,Ifeanyichukwu,3,Networks,Female,27,Chandigarh,None,2,1,0,0
2398,15747724,Briggs,4,Organic,Female,34,Cochin,None,1,0,1,0
2399,15633877,Morrison,5,Organic,Female,42,Mumbai,None,1,1,1,0
2400,15672516,Wall,3,Direct,Male,51,Surat,None,2,0,1,0
2401,15607827,Nebechukwu,5,Direct,Male,34,Delhi,Silver,2,1,1,0
2402,15751336,Yao,4,Organic,Male,30,Chandigarh,None,2,1,0,0
2403,15646539,Liao,3,Networks,Male,31,Chandigarh,None,1,0,1,0
2404,15756901,Ch'ang,4,Networks,Female,26,Delhi,None,2,1,0,0
2405,15809286,Burke,4,Direct,Male,37,Mumbai,Silver,2,0,0,1
2406,15759021,Kay,4,Networks,Male,35,Ahmedabad,None,1,0,1,0
2407,15725039,McIntyre,5,Organic,Male,32,Mumbai,None,1,1,1,0
2408,15579130,Chidiegwu,5,Direct,Female,43,Kolkata,Base,1,0,1,1
2409,15754112,Musgrove,4,Organic,Male,55,Surat,None,2,1,1,0
2410,15735522,Boulger,4,Direct,Male,37,Bangalore,Silver,2,0,0,0
2411,15613326,Gow,3,Networks,Female,33,Hyderabad,Silver,1,0,1,0
2412,15739502,Amaechi,3,Direct,Female,31,Ahmedabad,Silver,2,1,1,0
2413,15670914,Robe,5,Networks,Male,38,Bangalore,None,2,0,1,0
2414,15604073,Bibi,6,Direct,Female,25,Mumbai,Silver,1,1,1,0
2415,15806027,Niu,3,Networks,Female,52,Ahmedabad,None,1,0,1,1
2416,15574886,Palerma,5,Networks,Male,32,New Delhi,None,1,1,1,0
2417,15707120,Cocci,6,Networks,Male,46,Ahmedabad,Base,1,0,1,0
2418,15800845,Artemieva,5,Organic,Female,33,Mumbai,Base,1,1,1,0
2419,15603914,Arcuri,4,Networks,Male,40,New Delhi,None,1,1,1,1
2420,15722765,Owen,3,Organic,Female,57,Kolkata,Silver,1,1,0,0
2421,15783305,Franklin,3,Networks,Female,46,Surat,None,1,0,1,0
2422,15574842,Lorenzo,4,Direct,Female,25,Bangalore,Gold,3,1,1,0
2423,15607837,Muriel,5,Networks,Female,29,Delhi,None,1,1,1,0
2424,15714877,MacDevitt,4,Networks,Female,29,Cochin,None,2,0,1,0
2425,15782941,Chijindum,3,Networks,Male,31,Bangalore,None,2,1,1,0
2426,15630167,Gibson,4,Organic,Female,39,Delhi,Silver,1,1,1,0
2427,15759038,Whitehead,5,Networks,Female,41,Chandigarh,Silver,1,0,1,0
2428,15661821,Johnstone,5,Direct,Female,49,Chennai,Silver,1,1,1,1
2429,15728006,Endrizzi,3,Networks,Male,40,Bangalore,Platinum,1,0,1,0
2430,15712176,Burke,6,Networks,Male,31,Mumbai,None,2,1,1,0
